DATE,DEX,TOKEN_IN,AMOUNT,TRADERS
2022-07-01,ref,USN,7998.15,11
2022-11-06,ref,USDT,184617.62,16
2021-09-05,ref,USDC,500.7,36
2022-04-19,ref,USDT,913054.51,61
2022-06-09,ref,DAI,1552.85,4
2022-08-14,ref,DAI,1356.24,9
2021-10-16,ref,USDT,225130.99,125
2022-04-28,ref,USDC,378457.97,18
2022-08-16,jumbo,USDT,26.4,5
2022-01-24,ref,USDT,535589.45,42
2022-07-25,ref,USDC,157707.29,13
2022-06-13,ref,DAI,28399.95,11
2022-08-29,ref,USDC,197224.32,12
2021-11-19,ref,USDC,4301.98,24
2022-03-19,ref,USDT,179877.69,19
2022-03-20,ref,USDC,34489.26,19
2022-01-11,ref,USDC,2383.27,19
2022-03-01,jumbo,USDT,103.75,3
2022-05-03,ref,USN,598.33,3
2022-07-09,ref,USN,2853.21,6
2022-08-15,ref,USDC,190686.57,12
2022-05-19,ref,USN,2889,20
2022-02-02,ref,USDC,1426.94,9
2022-08-02,ref,DAI,3460.88,7
2022-04-12,ref,USDC,232843.63,7
2021-12-13,ref,DAI,144591.08,15
2022-07-21,jumbo,USDT,123.66,3
2022-05-12,ref,DAI,97091.51,15
2022-07-28,jumbo,USDT,0.26,1
2022-07-31,ref,USN,6329.8,6
2022-08-27,ref,DAI,252.5,7
2021-12-02,ref,USDC,2453.64,10
2022-07-31,jumbo,USDC,0.08,1
2022-10-06,ref,USDT,89088.65,13
2022-03-03,ref,USDT,420590.36,27
2021-10-10,ref,USDT,154929.43,174
2022-06-28,ref,USDC,118586.48,10
2022-09-01,ref,USDT,265661.46,20
2022-01-24,ref,USDC,2182.93,13
2021-10-17,ref,DAI,88560.76,75
2022-02-01,ref,DAI,146002.93,21
2022-02-09,ref,USDC,4269.59,13
2022-10-28,ref,USN,1560.86,9
2022-10-14,ref,USN,2233.67,8
2022-09-13,ref,USN,18979.57,8
2022-05-07,ref,DAI,6427.05,10
2022-11-17,ref,USDT,67059.49,14
2022-07-07,ref,USN,4718.31,6
2022-03-30,ref,USDC,203167.94,9
2022-10-02,ref,USDC,27742.35,10
2022-10-21,ref,USDT,219554.79,14
2022-01-20,ref,USDC,30477.81,22
2022-10-07,ref,USDC,36734.38,11
2022-11-02,ref,USN,1304.8,12
2022-07-03,ref,USDT,255996.42,17
2022-01-01,ref,USDC,229375.61,24
2022-10-06,ref,DAI,330.19,9
2022-10-09,ref,USN,381.05,9
2022-08-25,ref,USDT,264278.54,14
2022-09-21,ref,USDC,259218.03,12
2022-10-24,ref,DAI,836.76,7
2022-11-07,ref,USDT,174482.25,11
2022-09-12,jumbo,USDT,9.22,3
2022-04-15,jumbo,USDC,1.39,1
2022-08-16,jumbo,USDC,0.07,1
2022-07-16,ref,DAI,3158.4,4
