FIRST_DATE,DEX,NEW_USERS
2022-04-15,ref,74
2022-07-29,ref,6
2022-09-28,ref,12
2022-01-05,ref,74
2022-05-14,ref,28
2022-05-07,ref,33
2022-03-23,jumbo,31
2021-12-08,ref,32
2022-10-05,jumbo,6
2022-04-12,jumbo,5
2022-05-09,jumbo,3
2022-07-14,ref,12
2022-11-02,jumbo,4
2021-09-09,ref,604
2021-10-14,ref,235
2022-02-24,ref,28
2022-03-18,jumbo,73
2022-06-18,jumbo,2
2022-05-23,ref,22
2022-03-02,ref,24
2022-09-05,ref,4
2022-08-28,jumbo,1
2022-08-07,ref,20
2021-12-18,ref,27
2021-12-02,ref,29
2022-10-14,ref,16
2022-04-05,ref,33
2022-04-27,jumbo,8
2022-11-06,jumbo,2
2022-04-18,jumbo,8
2022-05-10,jumbo,4
2022-06-08,ref,22
2022-01-10,ref,67
2022-03-13,ref,36
2022-06-13,ref,19
2022-02-12,ref,21
2022-09-04,ref,8
2022-01-28,ref,29
2022-09-07,ref,7
2022-06-24,ref,8
2022-08-24,jumbo,4
2022-09-25,jumbo,5
2022-11-15,ref,4
2022-10-26,jumbo,4
2022-01-17,ref,52
2022-02-04,ref,25
2021-10-21,ref,395
2022-04-09,ref,38
2022-06-19,ref,14
2022-03-11,ref,36
2022-06-15,ref,10
2022-06-06,ref,23
2022-03-25,ref,19
2022-04-29,jumbo,7
2022-06-29,ref,6
2022-08-08,jumbo,1
2021-10-25,ref,733
2021-11-22,ref,163
2021-10-09,ref,409
2022-01-22,ref,43
2022-04-30,ref,70
2022-04-20,ref,107
2022-07-25,ref,11
2022-09-14,ref,23
2022-08-06,ref,7
2022-11-17,jumbo,1
2022-01-23,ref,39
2021-09-01,ref,846
2022-03-01,ref,37
2022-01-01,ref,25
2022-04-07,jumbo,7
2022-10-15,jumbo,2
2022-10-13,jumbo,1
2022-11-21,ref,11
2022-06-01,jumbo,2
2022-10-27,jumbo,2
2022-01-24,ref,43
2022-04-16,ref,49
2022-03-11,jumbo,35
2021-10-12,ref,243
2022-02-23,jumbo,56
2022-03-21,ref,18
2022-02-18,ref,61
2021-12-11,ref,35
2022-09-09,ref,9
2022-09-13,jumbo,1
2022-05-29,jumbo,1
2022-03-12,jumbo,122
2021-09-29,ref,233
2022-07-12,ref,8
2022-09-15,ref,23
2022-10-07,jumbo,2
2022-06-23,ref,9
2022-05-31,jumbo,4
2022-10-12,jumbo,2
2022-02-20,jumbo,4896
2022-04-27,ref,89
2022-06-09,ref,12
2021-12-21,ref,33
2022-10-12,ref,10
2022-10-24,ref,14
2022-02-07,ref,40
2022-07-18,ref,14
2022-01-19,ref,34
2022-04-03,jumbo,12
2022-03-23,ref,14
2022-07-22,jumbo,1
2021-09-13,ref,314
2022-04-26,ref,132
2022-11-03,ref,22
2022-02-18,jumbo,2704
2021-10-20,ref,405
2022-04-18,ref,77
2021-10-11,ref,473
2021-11-14,ref,123
2021-12-26,ref,57
2022-06-02,jumbo,3
2021-12-10,ref,28
2022-05-20,ref,13
2022-03-25,jumbo,19
2022-10-15,ref,14
2022-06-24,jumbo,7
2022-08-16,jumbo,6
2022-07-19,ref,16
2022-07-13,ref,5
2022-06-03,jumbo,5
2022-05-23,jumbo,1
2022-10-30,jumbo,1
2022-03-13,jumbo,35
2022-08-15,jumbo,5
2022-05-18,ref,23
2022-01-16,ref,82
2021-12-13,ref,42
2022-04-28,jumbo,11
2022-07-21,jumbo,1
2022-06-03,ref,13
2022-10-09,ref,10
2022-06-17,jumbo,6
2022-10-20,ref,7
2022-08-02,jumbo,2
2022-03-22,ref,24
2022-09-25,ref,16
2022-04-21,jumbo,25
2021-10-31,ref,194
2022-06-02,ref,13
2022-07-10,ref,7
2021-12-22,ref,32
2022-08-18,ref,10
2022-07-17,ref,5
2022-08-29,ref,7
2022-06-14,jumbo,3
2022-08-18,jumbo,2
2021-09-24,ref,330
2022-08-15,ref,17
2022-07-03,ref,15
2022-05-13,ref,34
2022-05-19,ref,20
2022-10-06,ref,16
2022-03-03,ref,21
2022-11-03,jumbo,3
2022-04-17,jumbo,5
2021-11-05,ref,127
2022-01-08,ref,52
2022-04-11,jumbo,13
2022-01-13,ref,83
2022-05-08,ref,36
2022-10-31,ref,12
2022-03-02,jumbo,13
2022-09-11,ref,9
2022-03-03,jumbo,6
2022-04-10,jumbo,11
2022-06-05,jumbo,2
2022-11-12,jumbo,1
2022-08-29,jumbo,1
2021-09-18,ref,266
2021-09-22,ref,209
2021-11-06,ref,209
2022-05-04,ref,44
2022-07-31,jumbo,2
2022-02-14,ref,26
2022-09-26,jumbo,4
2022-05-08,jumbo,5
2022-03-10,jumbo,20
2022-07-07,ref,12
2022-10-07,ref,9
2022-08-26,jumbo,2
2021-09-15,ref,243
2022-04-06,ref,24
2022-03-16,jumbo,29
2022-06-21,jumbo,5
2021-09-06,ref,303
2022-04-23,jumbo,8
2022-03-15,jumbo,41
2022-03-16,ref,38
2021-11-13,ref,95
2022-06-26,ref,5
2022-02-03,ref,13
2022-07-28,jumbo,5
2022-08-10,ref,38
2022-04-23,ref,87
2021-09-26,ref,316
2022-08-23,ref,8
2022-11-20,ref,11
2021-12-25,ref,34
2022-02-05,ref,24
2022-08-19,ref,13
2022-06-04,ref,11
2022-06-13,jumbo,9
2022-06-27,jumbo,7
2022-09-22,ref,4
2022-10-19,ref,10
2022-10-10,jumbo,1
2022-08-10,jumbo,3
2021-10-13,ref,205
2021-11-19,ref,363
2022-09-29,ref,17
2022-05-22,ref,13
2022-02-01,ref,20
2022-09-30,ref,6
2022-04-19,jumbo,7
2022-09-01,ref,12
2022-11-02,ref,10
2022-07-12,jumbo,5
2022-09-19,ref,24
2021-11-16,ref,98
2021-10-28,ref,431
2022-10-26,ref,14
2022-09-12,ref,18
2022-03-24,jumbo,23
2022-05-12,jumbo,3
2022-05-13,jumbo,2
2022-05-11,jumbo,2
2022-08-21,jumbo,1
2022-08-20,jumbo,3
2022-07-19,jumbo,2
2022-01-25,ref,33
2022-01-07,ref,72
2022-07-08,ref,11
2021-12-07,ref,20
2022-10-28,ref,7
2022-06-29,jumbo,2
2022-04-14,ref,92
2021-09-04,ref,460
2022-05-02,ref,70
2022-03-05,jumbo,21
2022-10-04,ref,15
2022-09-21,jumbo,3
2021-10-29,ref,281
2022-04-24,jumbo,6
2022-06-08,jumbo,213
2022-11-23,jumbo,4
2022-05-31,ref,22
2022-07-07,jumbo,9
2022-07-28,ref,4
2022-04-20,jumbo,6
2022-08-08,ref,18
2022-07-11,jumbo,4
