DATE,DEX,AMOUNT,TRADERS
2022-07-29,ref,1271342.06,29
2022-04-15,ref,248040.24,33
2022-09-28,ref,259173.12,23
2022-05-07,ref,295508.29,48
2021-12-08,ref,1357592.69,41
2022-07-14,ref,481380.89,28
2022-01-05,ref,1609925.26,74
2022-05-14,ref,972004.07,52
2022-03-23,jumbo,20916.6,4
2022-10-05,jumbo,39.68,2
2022-05-09,jumbo,15.97,3
2022-04-12,jumbo,1.49,1
2022-11-02,jumbo,12.73,1
2022-03-13,ref,192275.45,16
2022-06-24,ref,3055461.5,28
2022-09-04,ref,155433.33,17
2022-09-07,ref,780605.66,25
2022-06-13,ref,4538582.65,67
2022-01-10,ref,820634.28,59
2022-06-08,ref,462885.46,31
2022-01-28,ref,263967.68,36
2022-02-12,ref,231296.78,36
2022-11-15,ref,327761.72,17
2022-09-25,jumbo,0.01,1
2021-10-25,ref,2765767.82,296
2022-01-22,ref,1418672.94,81
2021-10-09,ref,281225.6,332
2022-04-20,ref,867691.79,50
2021-11-22,ref,516857.38,114
2022-04-30,ref,4238624.49,66
2022-09-14,ref,590353.7,35
2022-07-25,ref,330271.98,35
2022-08-06,ref,437945.2,20
2022-04-05,ref,866735.05,43
2021-12-02,ref,679422.79,60
2021-12-18,ref,139225.64,37
2022-10-14,ref,354443.5,35
2022-08-07,ref,713881.84,32
2022-05-10,jumbo,2.47,1
2022-04-18,jumbo,6.13,2
2022-09-17,ref,285587.24,20
2021-10-27,ref,1179645.62,533
2022-03-10,ref,723578.05,11
2021-12-31,ref,434992.47,54
2022-05-29,ref,357322.18,18
2022-05-15,jumbo,2.26,2
2022-11-16,ref,234120.51,17
2022-11-14,ref,1106244.89,28
2022-04-21,ref,1242799.58,64
2021-12-09,ref,1272919.49,35
2021-11-11,ref,1372131.87,142
2021-09-05,ref,217862.34,120
2021-12-23,ref,2170920.49,84
2022-09-21,ref,881595.43,42
2022-03-29,jumbo,13.56,2
2022-06-19,jumbo,231.09,3
2022-03-14,ref,547296.45,11
2022-02-26,ref,574866.72,29
2021-12-27,ref,520951.55,72
2021-11-23,ref,478710.03,80
2022-02-17,ref,808340.98,48
2022-08-27,jumbo,0.41,2
2022-06-25,ref,2095298.4,42
2022-06-27,ref,760812.41,32
2022-07-21,ref,838640.37,24
2022-04-24,ref,124656.89,33
2022-04-25,ref,1622703.63,86
2021-12-17,ref,176147.79,51
2022-03-04,ref,1009211.62,48
2022-03-05,ref,396434.68,33
2022-11-10,ref,1879468.25,20
2021-12-05,ref,572059.55,40
2022-05-16,ref,445733.53,58
2022-05-30,ref,505040.89,40
2022-05-21,ref,337113.54,31
2022-10-17,ref,103914.06,21
2022-07-05,ref,422352.48,35
2022-08-11,jumbo,0.15,1
2022-09-12,jumbo,9.22,3
2022-03-06,jumbo,71.76,3
2022-05-04,jumbo,3.89,3
2022-10-31,jumbo,112.31,3
2022-09-08,jumbo,0.27,2
2022-06-03,jumbo,135.86,4
2022-04-18,ref,668949.26,63
2021-09-13,ref,873346.99,137
2021-10-20,ref,364086.97,244
2022-04-26,ref,1455749.21,87
2022-09-07,jumbo,0.68,2
2021-12-10,ref,1097425.77,51
2021-12-26,ref,653250.71,60
2021-11-14,ref,680584.3,95
2022-07-13,ref,682229.66,23
2021-10-11,ref,272106.6,215
2022-08-16,jumbo,26.47,5
2022-05-20,ref,284050.75,36
2022-11-03,ref,518208.55,18
2022-06-24,jumbo,178.32,3
2022-07-19,ref,2430931.32,33
2022-05-23,jumbo,0.62,1
2022-06-02,jumbo,110.14,4
2022-02-18,jumbo,88.79,1
2022-10-15,ref,66287.63,20
2022-10-30,jumbo,32.68,1
2022-03-25,jumbo,13.34,4
2022-06-07,jumbo,169.41,3
2021-12-20,ref,218428.06,67
2022-01-27,ref,624670.85,44
2021-09-14,ref,931941.02,88
2022-06-14,ref,2753380.03,43
2021-11-21,ref,268318.04,98
2022-09-22,jumbo,0.34,2
